 ,Full Name,Gender,Age,State,Job Classification,Date Joined,Balance,Marital Status,education,House Loan,Other Loan,contact,Previous Outcome,Loan Default,Customer Code
27,Colleen Warren,Female,37.0,Oregon,White Collar,2017-01-23,5919.72,married,primary,yes,no,unknown,unknown,no,A027
28,Cassandra Franklin,Female,33.0,California,White Collar,2017-01-25,5115.78,married,unknown,no,no,telephone,failure,no,A028
29,Cassandra Franklin,Male,50.0,Nevada,Blue Collar,2017-01-25,30619.57,married,secondary,no,yes,cellular,unknown,no,A029
30,Nellie Joseph,Male,42.0,California,White Collar,2017-01-27,16138.57,married,secondary,no,yes,cellular,unknown,no,A030
31,Guillermo Potter,Female,25.0,California,White Collar,2017-01-28,58042.94,divorced,secondary,no,no,telephone,unknown,yes,A031
32,Lynette Brewer,Male,30.0,Wyoming,White Collar,2017-01-28,21034.36,married,secondary,no,no,cellular,unknown,no,A032
33,Rachel Gomez,Female,58.0,Nevada,Other,2017-01-29,38603.3,married,secondary,no,no,cellular,unknown,no,A033
34,Lance Yates,Male,26.0,California,Other,2017-01-30,8705.42,single,tertiary,yes,no,cellular,unknown,yes,A034
35,Arturo Francis,Female,34.0,California,Blue Collar,2017-01-31,116132.24,married,tertiary,no,no,cellular,unknown,yes,A035
36,Lula Daniels,Female,36.0,California,White Collar,2017-01-31,47283.1,divorced,secondary,yes,no,unknown,unknown,no,A036
37,Bethany Pena,Female,33.0,California,White Collar,2017-01-31,30602.06,divorced,primary,no,no,telephone,unknown,yes,A037
38,Robert Munoz,Male,31.0,California,Other,2017-01-31,8488.61,married,secondary,yes,no,cellular,unknown,yes,A038
39,Shari Silva,Male,35.0,Nevada,Blue Collar,2017-01-31,19175.52,married,secondary,yes,no,cellular,failure,yes,A039
40,Cindy Becker,Male,59.0,Nevada,Other,2017-01-31,170828.72,single,tertiary,yes,no,unknown,unknown,no,A040
41,Guillermo Potter,Male,27.0,California,Blue Collar,2017-02-01,76733.75,single,tertiary,yes,no,unknown,failure,no,A041
42,Sandra Floyd,Female,35.0,California,White Collar,2017-02-01,14469.72,single,tertiary,no,no,cellular,unknown,no,A042
43,Billie Chandler,Male,49.0,Nevada,Blue Collar,2017-02-01,170179.43,married,secondary,yes,no,cellular,unknown,no,A043
44,Isabel Cross,Female,22.0,Oregon,Other,2017-02-01,160786.69,married,tertiary,yes,no,cellular,unknown,no,A044
45,Bernadette Page,Female,53.0,California,Other,2017-02-03,4316.72,single,tertiary,yes,no,cellular,unknown,no,A045
46,Andrew Meyer,Female,47.0,Nevada,Other,2017-02-03,81475.55,single,tertiary,yes,no,unknown,unknown,no,A046
47,Lee Mack,Female,32.0,Nevada,Other,2017-02-03,88806.93,married,primary,no,no,telephone,other,no,A047
48,Bobbie Ryan,Female,19.0,Oregon,Other,2017-02-08,21398.25,married,primary,yes,no,unknown,unknown,no,A048
49,Trevor Jones,Male,27.0,California,White Collar,2017-02-12,35702.84,single,primary,yes,yes,cellular,unknown,no,A049
50,Eric Rose,Male,39.0,California,White Collar,2017-02-12,58258.43,married,unknown,yes,no,cellular,success,yes,A050
51,Donna Reid,Female,29.0,California,Blue Collar,2017-02-12,2090.21,divorced,primary,no,no,unknown,unknown,yes,A051
52,Ivan Adkins,Female,31.0,California,Blue Collar,2017-02-12,62127.25,single,secondary,yes,no,cellular,unknown,no,A052
53,Billie Chandler,Female,37.0,California,Other,2017-02-12,70971.21,single,secondary,no,no,cellular,unknown,no,A053
54,Jenny Garcia,Female,32.0,California,White Collar,2017-02-12,36099.99,married,tertiary,yes,no,cellular,other,yes,A054
55,Andrew Meyer,Male,24.0,California,White Collar,2017-02-12,7330.18,married,secondary,yes,no,cellular,unknown,no,A055
56,Brooke Horton,Male,40.0,California,White Collar,2017-02-12,87149.94,married,secondary,yes,no,telephone,unknown,no,A056
57,Max Rodgers,Female,33.0,California,Blue Collar,2017-02-12,86616.27,married,secondary,no,yes,telephone,unknown,no,A057
58,Eric Rose,Male,44.0,California,White Collar,2017-02-12,53477.93,single,tertiary,no,no,cellular,unknown,no,A058
59,Rachel Gomez,Male,39.0,California,Other,2017-02-12,2804.27,single,secondary,yes,yes,unknown,unknown,no,A059
60,Max Rodgers,Male,47.0,California,White Collar,2017-02-12,34887.43,divorced,secondary,yes,yes,unknown,unknown,no,A060
61,Robert Munoz,Female,35.0,California,White Collar,2017-02-12,6843.64,married,primary,no,yes,telephone,unknown,no,A061
62,Don Gonzales,Female,47.0,California,Other,2017-02-12,30351.96,married,secondary,yes,no,cellular,unknown,no,A062
63,Cecilia Manning,Male,47.0,California,White Collar,2017-02-12,33453.64,married,tertiary,no,no,cellular,unknown,no,A063
64,Cindy Becker,Female,39.0,California,White Collar,2017-02-12,60155.6,married,secondary,no,no,cellular,unknown,no,A064
65,Brooke Horton,Female,50.0,Nevada,Other,2017-02-12,27000.55,married,secondary,no,no,cellular,unknown,no,A065
66,Ivan Adkins,Male,43.0,Nevada,Blue Collar,2017-02-12,29963.9,divorced,secondary,yes,no,cellular,failure,no,A066
67,Christina Fuller,Male,47.0,Nevada,Blue Collar,2017-02-12,7909.67,married,secondary,yes,no,cellular,unknown,no,A067
68,Peter Hodges,Male,61.0,Nevada,Blue Collar,2017-02-12,10688.72,married,secondary,yes,no,cellular,unknown,no,A068
69,Ben Perez,Male,53.0,Nevada,Blue Collar,2017-02-12,53358.78,married,secondary,no,yes,cellular,unknown,no,A069
70,Andrew Meyer,Male,45.0,Nevada,Other,2017-02-12,22407.12,single,tertiary,no,no,cellular,unknown,no,A070
71,Peter Hodges,Male,49.0,Nevada,Blue Collar,2017-02-12,104537.99,married,tertiary,no,no,cellular,success,yes,A071
72,Billie Chandler,Female,51.0,Nevada,Other,2017-02-12,53636.4,divorced,tertiary,yes,no,unknown,unknown,no,A072
73,Robert Munoz,Female,36.0,Wyoming,White Collar,2017-02-12,61852.4,single,tertiary,yes,no,unknown,unknown,no,A073
74,Salvador Bass,Male,45.0,Wyoming,Other,2017-02-12,54770.04,married,tertiary,yes,no,unknown,unknown,no,A074
75,Salvador Bass,Female,30.0,Oregon,White Collar,2017-02-12,29.91,married,secondary,yes,no,unknown,unknown,no,A075
76,Bobbie Ryan,Male,44.0,Nevada,Blue Collar,2017-02-24,86920.39,divorced,tertiary,no,no,cellular,unknown,no,A076
77,Andrew Meyer,Male,38.0,California,White Collar,2017-03-09,42549.96,divorced,secondary,yes,no,cellular,other,no,A077
78,Drew Rogers,Female,36.0,California,Other,2017-03-10,57782.78,single,secondary,no,yes,cellular,unknown,no,A078
79,Isabel Cross,Female,23.0,Wyoming,Blue Collar,2017-03-15,10999.3,divorced,primary,no,no,cellular,unknown,no,A079
80,Della Jensen,Male,34.0,California,White Collar,2017-03-16,364.88,married,secondary,yes,no,cellular,failure,no,A080
81,Lorraine Gibson,Female,36.0,California,White Collar,2017-03-16,89454.87,divorced,secondary,yes,no,cellular,unknown,yes,A081
82,Shari Silva,Male,20.0,California,White Collar,2017-03-16,17348.31,married,primary,no,no,cellular,unknown,no,A082
83,Drew Rogers,Male,31.0,California,Blue Collar,2017-03-16,13948.76,single,secondary,yes,yes,cellular,unknown,no,A083
84,Iris Underwood,Male,42.0,California,White Collar,2017-03-16,65327.43,married,secondary,no,no,telephone,failure,yes,A084
85,Drew Rogers,Female,38.0,California,White Collar,2017-03-16,94986.87,married,tertiary,no,no,cellular,unknown,yes,A085
86,Jenny Garcia,Male,39.0,California,White Collar,2017-03-16,34074.76,married,primary,yes,no,unknown,unknown,no,A086
87,Lorraine Gibson,Male,41.0,California,Other,2017-03-16,7232.21,single,secondary,no,yes,cellular,unknown,no,A087
88,Elaine Ellis,Female,24.0,California,White Collar,2017-03-16,106821.69,single,primary,yes,no,unknown,unknown,no,A088
89,Eric Rose,Female,24.0,California,White Collar,2017-03-16,63296.87,married,secondary,yes,no,cellular,unknown,no,A089
90,Isabel Cross,Female,35.0,California,White Collar,2017-03-16,6259.07,married,secondary,yes,no,unknown,unknown,no,A090
91,Billie Chandler,Male,35.0,California,White Collar,2017-03-16,112854.76,married,primary,no,no,cellular,unknown,no,A091
92,Woodrow Colon,Female,26.0,California,White Collar,2017-03-16,42665.81,married,primary,yes,no,unknown,unknown,no,A092
93,Edwin Malone,Male,23.0,California,White Collar,2017-03-16,21937.4,single,secondary,yes,no,cellular,unknown,yes,A093
94,Paulette Spencer,Female,38.0,California,Other,2017-03-16,65721.3,single,tertiary,no,no,cellular,unknown,no,A094
95,Cassandra Franklin,Female,30.0,California,White Collar,2017-03-16,82157.25,married,secondary,no,no,cellular,unknown,no,A095
96,Allan Ramos,Male,28.0,California,White Collar,2017-03-16,100713.46,single,tertiary,no,no,cellular,unknown,no,A096
97,Eric Rose,Female,38.0,California,Blue Collar,2017-03-16,92372.93,married,tertiary,yes,no,unknown,unknown,no,A097
98,Cassandra Franklin,Female,36.0,California,White Collar,2017-03-16,2133.75,single,tertiary,no,no,cellular,failure,no,A098
99,Della Jensen,Male,40.0,Nevada,Blue Collar,2017-03-16,8143.09,divorced,secondary,no,no,cellular,success,no,A099
100,Shari Silva,Female,56.0,Nevada,Other,2017-03-16,19776.54,single,primary,no,no,cellular,unknown,yes,A0100
101,Austin Reynolds,Male,51.0,Nevada,Blue Collar,2017-03-16,177632.66,married,secondary,yes,no,unknown,unknown,no,A0101
102,Dan Peterson,Female,44.0,Nevada,White Collar,2017-03-16,28102.69,single,tertiary,yes,no,cellular,failure,no,A0102
103,Elbert Klein,Female,55.0,Nevada,White Collar,2017-03-16,53638.88,married,secondary,no,no,telephone,unknown,no,A0103
104,Nellie Joseph,Female,57.0,Nevada,Other,2017-03-16,33858.22,single,primary,yes,no,telephone,unknown,no,A0104
105,Robert Munoz,Male,48.0,Nevada,White Collar,2017-03-16,127025.51,single,secondary,no,no,unknown,unknown,no,A0105
106,Herman Williams,Female,54.0,Nevada,Other,2017-03-16,67122.45,single,tertiary,yes,no,cellular,failure,no,A0106
107,Cassandra Franklin,Male,36.0,Nevada,Blue Collar,2017-03-16,18829.03,married,secondary,yes,yes,unknown,unknown,no,A0107
108,Woodrow Colon,Male,48.0,Nevada,Blue Collar,2017-03-16,35686.39,married,tertiary,yes,no,cellular,unknown,no,A0108
109,Willie Vega,Male,63.0,Nevada,Other,2017-03-16,109642.87,married,primary,no,no,cellular,unknown,yes,A0109
110,Cassandra Franklin,Male,63.0,Nevada,Blue Collar,2017-03-16,39512.3,married,primary,yes,no,cellular,unknown,no,A0110
111,Lorraine Gibson,Female,25.0,Wyoming,Other,2017-03-16,105669.63,single,secondary,no,no,cellular,success,yes,A0111
112,Christina Fuller,Male,26.0,Wyoming,White Collar,2017-03-16,30786.06,married,tertiary,yes,no,telephone,unknown,no,A0112
113,Ivan Adkins,Male,29.0,Oregon,White Collar,2017-03-16,122729.15,married,secondary,yes,yes,cellular,unknown,no,A0113
114,Brooke Horton,Female,18.0,Oregon,Other,2017-03-16,76373.58,single,secondary,no,no,cellular,failure,no,A0114
115,Robert Munoz,Female,43.0,Oregon,Blue Collar,2017-03-16,56549.84,single,secondary,no,no,telephone,unknown,yes,A0115
116,Robert Munoz,Female,36.0,California,Other,2017-03-19,32545.24,single,secondary,no,yes,cellular,unknown,yes,A0116
117,Edwin Malone,Female,40.0,California,Other,2017-03-25,18529.12,married,secondary,yes,no,cellular,unknown,no,A0117
118,Tracy Reed,Male,52.0,Nevada,Other,2017-03-28,101017.81,single,secondary,no,yes,cellular,unknown,no,A0118
119,Rachel Gomez,Female,18.0,California,White Collar,2017-03-31,50034.96,married,primary,no,no,cellular,unknown,no,A0119
120,Elbert Klein,Female,31.0,California,White Collar,2017-03-31,203536.4,divorced,tertiary,no,no,unknown,unknown,no,A0120
121,Lynette Brewer,Male,37.0,California,White Collar,2017-03-31,58445.31,divorced,secondary,yes,no,cellular,unknown,no,A0121
122,Kyle Carr,Male,25.0,California,Other,2017-03-31,5577.78,married,primary,no,no,cellular,unknown,no,A0122
123,Max Rodgers,Male,50.0,California,White Collar,2017-03-31,64527.19,married,secondary,yes,no,unknown,unknown,no,A0123
124,Carla Mccormick,Male,39.0,California,Other,2017-04-01,165893.25,married,secondary,no,yes,cellular,unknown,no,A0124
125,Fernando Rowe,Male,27.0,California,White Collar,2017-04-01,18375.37,single,tertiary,yes,no,cellular,failure,no,A0125
126,Jaime Pearson,Male,42.0,California,White Collar,2017-04-01,83075.39,single,tertiary,no,no,cellular,unknown,yes,A0126
127,Max Rodgers,Female,27.0,California,White Collar,2017-04-01,15642.52,single,secondary,no,no,unknown,unknown,no,A0127
128,Della Jensen,Female,41.0,California,White Collar,2017-04-01,6487.76,single,secondary,no,yes,cellular,unknown,no,A0128
129,Donna Reid,Male,47.0,California,White Collar,2017-04-01,22525.45,single,secondary,no,no,telephone,failure,no,A0129
130,Robert Munoz,Female,27.0,California,White Collar,2017-04-01,41399.67,divorced,tertiary,no,no,cellular,unknown,yes,A0130
131,Cindy Becker,Female,41.0,California,White Collar,2017-04-01,41128.49,married,primary,yes,no,cellular,unknown,no,A0131
132,Max Rodgers,Male,20.0,California,Blue Collar,2017-04-01,14295.01,married,primary,yes,no,unknown,unknown,no,A0132
133,Cindy Becker,Female,38.0,California,White Collar,2017-04-02,60382.06,married,unknown,yes,no,unknown,unknown,no,A0133
134,Robert Munoz,Male,34.0,California,Blue Collar,2017-04-02,66780.97,married,unknown,yes,no,cellular,failure,no,A0134
135,Jenny Garcia,Male,42.0,California,White Collar,2017-04-02,84554.58,single,secondary,yes,no,unknown,unknown,no,A0135
136,Pauline Beck,Male,26.0,California,White Collar,2017-04-02,19392.82,single,tertiary,no,no,cellular,unknown,no,A0136
137,Max Rodgers,Female,43.0,California,White Collar,2017-04-02,62994.73,single,secondary,yes,yes,cellular,failure,no,A0137
138,Cindy Becker,Male,37.0,California,White Collar,2017-04-02,15975.01,single,tertiary,no,no,cellular,unknown,no,A0138
139,Rachel Gomez,Female,40.0,California,White Collar,2017-04-02,85282.21,married,tertiary,yes,no,cellular,unknown,yes,A0139
140,Lorraine Gibson,Male,57.0,Nevada,Blue Collar,2017-04-02,60461.75,married,unknown,no,no,unknown,unknown,no,A0140
141,Billie Chandler,Female,45.0,California,White Collar,2017-04-03,54601.82,divorced,tertiary,no,no,cellular,unknown,no,A0141
142,Lee Mack,Male,23.0,California,White Collar,2017-04-03,15296.37,single,tertiary,yes,no,cellular,unknown,no,A0142
143,Dan Peterson,Male,45.0,California,Other,2017-04-03,60266.15,divorced,unknown,yes,no,unknown,unknown,no,A0143
144,Robert Munoz,Male,26.0,California,White Collar,2017-04-03,6773.51,single,tertiary,yes,no,cellular,unknown,no,A0144
145,Eric Rose,Male,37.0,California,White Collar,2017-04-04,133014.82,married,secondary,yes,yes,unknown,unknown,no,A0145
146,Christina Fuller,Male,41.0,California,White Collar,2017-04-05,77174.34,married,tertiary,no,yes,cellular,unknown,no,A0146
147,Jenny Garcia,Male,33.0,California,White Collar,2017-04-05,7372.88,married,primary,no,yes,unknown,unknown,no,A0147
148,Ellen Weaver,Female,37.0,California,White Collar,2017-04-05,72246.18,married,secondary,yes,no,cellular,unknown,no,A0148
149,Eric Rose,Male,33.0,California,White Collar,2017-04-05,48456.88,married,secondary,yes,no,cellular,other,no,A0149
150,Jaime Pearson,Female,29.0,California,White Collar,2017-04-05,5999.28,single,unknown,yes,no,unknown,unknown,no,A0150
151,Marian Hill,Male,33.0,California,White Collar,2017-04-05,7700.42,married,unknown,yes,no,unknown,unknown,no,A0151
152,Blake Bridges,Male,32.0,California,White Collar,2017-04-05,76978.94,single,tertiary,yes,yes,cellular,unknown,no,A0152
153,Robert Munoz,Female,36.0,California,White Collar,2017-04-05,85102.87,divorced,primary,yes,yes,unknown,unknown,no,A0153
154,Sandra Floyd,Male,46.0,California,White Collar,2017-04-05,85618.4,married,secondary,no,no,cellular,unknown,no,A0154
155,Cindy Becker,Male,33.0,California,Blue Collar,2017-04-05,2171.06,married,secondary,no,no,unknown,unknown,no,A0155
156,Austin Reynolds,Male,24.0,California,Other,2017-04-05,54112.25,divorced,secondary,no,no,cellular,unknown,no,A0156
157,Elvira Bowman,Male,32.0,California,White Collar,2017-04-05,37203.58,married,secondary,no,no,cellular,success,yes,A0157
158,Jenny Garcia,Male,26.0,California,White Collar,2017-04-05,1505.52,married,secondary,yes,no,cellular,failure,no,A0158
159,Salvador Bass,Male,30.0,California,White Collar,2017-04-05,32642.45,single,secondary,no,no,cellular,unknown,no,A0159
160,Cassandra Franklin,Male,38.0,California,White Collar,2017-04-05,11346.19,married,secondary,yes,no,cellular,unknown,no,A0160
161,Ben Perez,Female,42.0,California,White Collar,2017-04-05,3486.58,married,tertiary,no,no,unknown,unknown,no,A0161
162,Robert Munoz,Female,36.0,California,Other,2017-04-05,91852.0,single,secondary,yes,no,unknown,unknown,no,A0162
163,Lance Yates,Female,39.0,California,White Collar,2017-04-05,6148.76,single,secondary,no,yes,unknown,unknown,no,A0163
164,Beth Tucker,Female,59.0,Nevada,Other,2017-04-05,50012.21,married,secondary,yes,yes,unknown,unknown,no,A0164
165,Cecilia Manning,Male,52.0,Nevada,Blue Collar,2017-04-05,6523.87,single,tertiary,no,no,cellular,failure,yes,A0165
166,Patty Thompson,Male,51.0,Nevada,Blue Collar,2017-04-05,15266.63,single,secondary,yes,no,unknown,unknown,no,A0166
167,Robert Munoz,Male,24.0,Wyoming,Blue Collar,2017-04-05,28453.22,married,secondary,no,no,telephone,unknown,no,A0167
168,Elaine Ellis,Female,30.0,Wyoming,White Collar,2017-04-05,46038.55,divorced,secondary,yes,no,cellular,unknown,no,A0168
169,Isabel Cross,Male,39.0,California,Blue Collar,2017-04-06,106560.7,married,tertiary,no,no,unknown,unknown,no,A0169
170,Shari Silva,Female,32.0,California,Other,2017-04-06,4910.15,single,secondary,yes,yes,cellular,unknown,no,A0170
171,Sandra Floyd,Male,38.0,California,White Collar,2017-04-06,19671.99,married,secondary,no,no,unknown,unknown,no,A0171
172,Shari Silva,Male,42.0,California,Blue Collar,2017-04-06,93913.88,single,tertiary,no,no,cellular,unknown,no,A0172
173,Trevor Jones,Female,26.0,California,White Collar,2017-04-06,139332.75,single,secondary,yes,yes,cellular,other,no,A0173
174,Robert Munoz,Female,31.0,California,White Collar,2017-04-06,68772.72,married,secondary,yes,no,cellular,unknown,no,A0174
175,Brooke Horton,Male,31.0,California,White Collar,2017-04-06,23859.15,married,tertiary,no,no,cellular,unknown,no,A0175
176,Mable Lindsey,Female,25.0,California,White Collar,2017-04-06,40871.43,married,secondary,yes,yes,cellular,unknown,no,A0176
177,Drew Rogers,Male,35.0,California,White Collar,2017-04-06,104997.51,married,secondary,yes,yes,cellular,unknown,no,A0177
178,Sonya Mullins,Male,33.0,California,Blue Collar,2017-04-06,90667.24,married,secondary,yes,no,cellular,failure,no,A0178
179,Jenny Garcia,Male,24.0,California,Blue Collar,2017-04-06,78897.46,married,unknown,no,no,unknown,unknown,no,A0179
180,Brooke Horton,Male,29.0,Oregon,Blue Collar,2017-04-06,30620.18,married,tertiary,yes,no,cellular,failure,no,A0180
181,Jenny Garcia,Female,32.0,California,White Collar,2017-04-07,148963.51,single,tertiary,yes,yes,cellular,unknown,no,A0181
182,Iris Underwood,Male,36.0,California,White Collar,2017-04-07,31694.39,single,secondary,no,yes,cellular,unknown,no,A0182
183,Tiffany May,Male,31.0,California,White Collar,2017-04-07,172107.28,single,secondary,yes,no,cellular,unknown,no,A0183
184,Kyle Carr,Male,33.0,California,Other,2017-04-07,120244.6,divorced,secondary,no,no,unknown,unknown,no,A0184
185,Salvador Bass,Male,40.0,California,Other,2017-04-07,31866.28,married,secondary,yes,no,unknown,unknown,no,A0185
186,Kyle Carr,Female,51.0,Nevada,Other,2017-04-07,87989.31,married,tertiary,yes,no,cellular,unknown,no,A0186
187,Dan Peterson,Female,46.0,California,White Collar,2017-04-08,60722.99,married,tertiary,yes,no,telephone,success,no,A0187
188,Max Rodgers,Female,29.0,California,White Collar,2017-04-08,33819.24,single,secondary,yes,no,cellular,other,no,A0188
189,Edwin Malone,Female,40.0,California,White Collar,2017-04-08,14074.7,married,secondary,yes,no,cellular,failure,no,A0189
190,Robert Munoz,Female,25.0,California,Other,2017-04-08,87632.34,married,secondary,yes,no,cellular,unknown,yes,A0190
191,Elbert Klein,Male,51.0,Nevada,Blue Collar,2017-04-08,1848.67,married,primary,yes,yes,telephone,unknown,no,A0191
192,Isabel Cross,Male,39.0,California,White Collar,2017-04-09,72231.61,married,secondary,yes,no,cellular,unknown,no,A0192
193,Sandra Floyd,Female,44.0,California,Other,2017-04-10,18331.81,single,tertiary,no,no,cellular,unknown,no,A0193
194,Cassandra Franklin,Male,40.0,California,White Collar,2017-04-10,43776.75,married,secondary,no,no,unknown,unknown,no,A0194
195,Drew Rogers,Female,35.0,California,White Collar,2017-04-10,24461.37,single,secondary,no,no,cellular,unknown,no,A0195
196,Cassandra Franklin,Female,32.0,California,White Collar,2017-04-10,130153.24,divorced,secondary,yes,no,cellular,unknown,no,A0196
197,Trevor Jones,Male,38.0,California,Blue Collar,2017-04-11,4687.48,single,secondary,yes,no,unknown,unknown,no,A0197
198,Rachel Gomez,Male,29.0,California,White Collar,2017-04-11,3430.25,married,secondary,no,yes,cellular,unknown,no,A0198
199,Della Jensen,Female,31.0,California,Blue Collar,2017-04-11,65912.04,married,tertiary,no,no,cellular,unknown,no,A0199
200,Billie Chandler,Female,47.0,California,White Collar,2017-04-11,135623.69,married,secondary,no,no,telephone,success,yes,A0200
201,Guillermo Potter,Male,34.0,California,Other,2017-04-12,56692.78,single,tertiary,yes,no,cellular,success,no,A0201
202,Donna Reid,Female,37.0,California,White Collar,2017-04-12,81536.4,married,secondary,no,no,cellular,unknown,no,A0202
203,Salvador Bass,Female,40.0,California,White Collar,2017-04-12,90518.7,single,tertiary,yes,no,cellular,failure,yes,A0203
204,Brooke Horton,Female,26.0,California,White Collar,2017-04-12,28198.81,divorced,tertiary,yes,no,cellular,failure,no,A0204
205,Allan Ramos,Female,25.0,California,Blue Collar,2017-04-12,118809.51,single,tertiary,no,no,telephone,unknown,yes,A0205
206,Isabel Cross,Female,36.0,California,White Collar,2017-04-12,162725.1,single,tertiary,yes,no,cellular,unknown,no,A0206
207,Woodrow Colon,Male,41.0,California,White Collar,2017-04-12,110443.85,married,secondary,yes,yes,cellular,unknown,no,A0207
208,Robert Munoz,Male,39.0,California,White Collar,2017-04-12,5572.01,married,secondary,yes,no,cellular,failure,no,A0208
209,Sandra Floyd,Male,39.0,California,Blue Collar,2017-04-12,34807.97,single,secondary,yes,no,cellular,failure,no,A0209
210,Della Jensen,Male,44.0,Nevada,Blue Collar,2017-04-12,96240.55,married,secondary,no,no,cellular,unknown,no,A0210
211,Cecilia Manning,Male,39.0,California,White Collar,2017-04-13,78364.43,single,secondary,yes,no,cellular,unknown,no,A0211
212,Donna Reid,Male,34.0,California,White Collar,2017-04-13,24729.6,single,secondary,yes,no,unknown,unknown,no,A0212
213,Max Rodgers,Female,29.0,California,Blue Collar,2017-04-13,31439.15,married,tertiary,yes,no,cellular,other,no,A0213
214,Isabel Cross,Female,21.0,California,Other,2017-04-13,20129.72,married,secondary,no,no,cellular,unknown,no,A0214
215,Bernadette Page,Male,39.0,California,Blue Collar,2017-04-13,51250.52,married,tertiary,no,no,cellular,unknown,no,A0215
216,Isabel Cross,Male,38.0,California,White Collar,2017-04-13,71859.03,married,tertiary,yes,no,cellular,unknown,yes,A0216
217,Woodrow Colon,Female,28.0,California,White Collar,2017-04-13,40310.27,married,secondary,no,no,cellular,unknown,no,A0217
218,Andrew Meyer,Female,29.0,California,White Collar,2017-04-14,44636.91,married,secondary,yes,no,cellular,failure,no,A0218
219,Allan Ramos,Male,25.0,California,White Collar,2017-04-14,47253.54,married,primary,yes,yes,telephone,unknown,no,A0219
220,Bethany Pena,Female,38.0,California,Other,2017-04-14,50012.21,married,secondary,no,no,cellular,unknown,no,A0220
221,Salvador Bass,Female,45.0,California,Blue Collar,2017-04-14,3842.75,married,tertiary,yes,no,cellular,unknown,no,A0221
222,Carla Mccormick,Female,33.0,California,White Collar,2017-04-14,6077.0,married,secondary,yes,no,unknown,unknown,no,A0222
223,Lance Yates,Male,32.0,California,White Collar,2017-04-14,22946.9,married,primary,no,no,unknown,unknown,no,A0223
224,Drew Rogers,Male,43.0,California,White Collar,2017-04-14,27019.0,married,primary,no,no,cellular,unknown,no,A0224
